,file_path,file_label,file_set
0,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person88_bacteria_439.jpeg,PNEUMONIA,test
1,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1672_virus_2888.jpeg,PNEUMONIA,test
2,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person139_bacteria_662.jpeg,PNEUMONIA,test
3,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person82_bacteria_404.jpeg,PNEUMONIA,test
4,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1_virus_12.jpeg,PNEUMONIA,test
5,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person16_virus_47.jpeg,PNEUMONIA,test
6,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person109_bacteria_523.jpeg,PNEUMONIA,test
7,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person118_bacteria_559.jpeg,PNEUMONIA,test
8,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1680_virus_2897.jpeg,PNEUMONIA,test
9,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person125_bacteria_595.jpeg,PNEUMONIA,test
10,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person111_bacteria_535.jpeg,PNEUMONIA,test
11,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1671_virus_2887.jpeg,PNEUMONIA,test
12,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person138_bacteria_659.jpeg,PNEUMONIA,test
13,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person149_bacteria_713.jpeg,PNEUMONIA,test
14,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1615_virus_2801.jpeg,PNEUMONIA,test
15,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person100_bacteria_477.jpeg,PNEUMONIA,test
16,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person94_bacteria_458.jpeg,PNEUMONIA,test
17,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person138_bacteria_658.jpeg,PNEUMONIA,test
18,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person103_bacteria_489.jpeg,PNEUMONIA,test
19,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person114_bacteria_545.jpeg,PNEUMONIA,test
20,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1625_virus_2817.jpeg,PNEUMONIA,test
21,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1640_virus_2839.jpeg,PNEUMONIA,test
22,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person134_bacteria_641.jpeg,PNEUMONIA,test
23,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person45_virus_95.jpeg,PNEUMONIA,test
24,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person109_bacteria_522.jpeg,PNEUMONIA,test
25,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person158_bacteria_742.jpeg,PNEUMONIA,test
26,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1650_virus_2854.jpeg,PNEUMONIA,test
27,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person64_virus_122.jpeg,PNEUMONIA,test
28,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person3_virus_17.jpeg,PNEUMONIA,test
29,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person100_bacteria_482.jpeg,PNEUMONIA,test
30,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1663_virus_2876.jpeg,PNEUMONIA,test
31,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person152_bacteria_722.jpeg,PNEUMONIA,test
32,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1626_virus_2818.jpeg,PNEUMONIA,test
33,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person122_bacteria_584.jpeg,PNEUMONIA,test
34,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person139_bacteria_666.jpeg,PNEUMONIA,test
35,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person103_bacteria_488.jpeg,PNEUMONIA,test
36,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1653_virus_2858.jpeg,PNEUMONIA,test
37,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1653_virus_2859.jpeg,PNEUMONIA,test
38,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person96_bacteria_466.jpeg,PNEUMONIA,test
39,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1622_virus_2810.jpeg,PNEUMONIA,test
40,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person85_bacteria_421.jpeg,PNEUMONIA,test
41,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person122_bacteria_585.jpeg,PNEUMONIA,test
42,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person128_bacteria_607.jpeg,PNEUMONIA,test
43,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person131_bacteria_629.jpeg,PNEUMONIA,test
44,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person90_bacteria_443.jpeg,PNEUMONIA,test
45,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person42_virus_89.jpeg,PNEUMONIA,test
46,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person112_bacteria_538.jpeg,PNEUMONIA,test
47,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person44_virus_94.jpeg,PNEUMONIA,test
48,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person91_bacteria_447.jpeg,PNEUMONIA,test
49,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1_virus_9.jpeg,PNEUMONIA,test
50,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person142_bacteria_683.jpeg,PNEUMONIA,test
51,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person134_bacteria_640.jpeg,PNEUMONIA,test
52,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person99_bacteria_474.jpeg,PNEUMONIA,test
53,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1667_virus_2881.jpeg,PNEUMONIA,test
54,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person17_virus_48.jpeg,PNEUMONIA,test
55,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1650_virus_2852.jpeg,PNEUMONIA,test
56,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person161_bacteria_759.jpeg,PNEUMONIA,test
57,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person119_bacteria_565.jpeg,PNEUMONIA,test
58,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person91_bacteria_445.jpeg,PNEUMONIA,test
59,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person143_bacteria_689.jpeg,PNEUMONIA,test
60,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person29_virus_64.jpeg,PNEUMONIA,test
61,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person91_bacteria_446.jpeg,PNEUMONIA,test
62,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person88_bacteria_437.jpeg,PNEUMONIA,test
63,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1613_virus_2799.jpeg,PNEUMONIA,test
64,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person120_bacteria_570.jpeg,PNEUMONIA,test
65,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person90_bacteria_442.jpeg,PNEUMONIA,test
66,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person109_bacteria_527.jpeg,PNEUMONIA,test
67,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person89_bacteria_440.jpeg,PNEUMONIA,test
68,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person78_virus_140.jpeg,PNEUMONIA,test
69,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person124_bacteria_591.jpeg,PNEUMONIA,test
70,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person153_bacteria_726.jpeg,PNEUMONIA,test
71,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person85_bacteria_419.jpeg,PNEUMONIA,test
72,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person22_virus_55.jpeg,PNEUMONIA,test
73,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1631_virus_2826.jpeg,PNEUMONIA,test
74,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person18_virus_49.jpeg,PNEUMONIA,test
75,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person122_bacteria_581.jpeg,PNEUMONIA,test
76,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1644_virus_2844.jpeg,PNEUMONIA,test
77,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person61_virus_118.jpeg,PNEUMONIA,test
78,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person78_bacteria_386.jpeg,PNEUMONIA,test
79,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person1685_virus_2903.jpeg,PNEUMONIA,test
80,/research/projects/m221279_Pouria/Playground/PyTorch_DDP_Example/data/test/PNEUMONIA/person50_virus_102.jpeg,PNEUMONIA,test
